#{"t_start": 1776510103.5959845, "env_id": "None"}
r,l,t
-767.903706,8,2.751003
-2275.511641,9,2.755665
-7224.835873,9,2.76309
-786.729417,9,2.768116
-544.061941,8,2.771916
-540.5653,8,2.779428
-934.608698,9,2.783807
-4386.307217,9,2.788264
-84.500395,7,2.794104
-1408.048959,8,2.801563
-143.958071,8,2.81179
-5752.424007,9,2.820952
-7801.076017,10,2.833557
-1328.832045,8,2.837757
-379.25798,8,2.844817
-4434.241171,9,2.849395
-523.527889,8,2.853383
-6884.583999,9,2.859183
-281.256901,8,2.865558
-9761.989056,9,2.870147
-1202.342928,9,2.8805
-589.58053,8,2.884663
-6254.962939,11,2.891314
-2281.228594,9,2.89729
-373.56292,8,2.901412
-4365.093862,9,2.908084
-2236.097301,9,2.920767
-5311.768076,9,2.925453
-548.061459,8,2.929722
-4766.590188,9,2.936059
-635.105492,8,2.940381
-1168.64455,8,2.947781
-2322.051233,9,2.954168
-4362.895217,13,2.961308
-300.654325,8,2.971149
-702.052731,9,2.982578
-103.49549,8,2.986912
-2267.337127,9,2.991498
-930.312112,8,2.998655
-4205.44719,9,3.003428
-560.513036,9,3.00802
-400.033321,11,3.016393
-5879.691086,9,3.020928
-3247.635066,9,3.026525
-1427.638467,8,3.032038
-127.416782,7,3.035688
-2292.280386,9,3.040122
-1020.462736,9,3.050596
-5235.192337,10,3.056632
-1113.45139,10,3.06446
-7596.135206,9,3.069134
-1538.187771,10,3.074069
-1252.563548,9,3.08497
-354.589363,8,3.096359
-2232.074367,9,3.106292
-262.973498,8,3.121401
-2022.808593,10,3.134482
-3736.374425,9,3.145971
-1488.894887,8,3.154577
-4955.86439,9,3.164438
-5759.144555,10,3.169581
-411.486451,8,3.175184
-134.668022,8,3.180603
-14324.785038,11,3.186208
-265.679526,8,3.195896
-551.332764,8,3.200418
-5092.585801,9,3.205372
-373.910018,8,3.214643
-2925.162497,9,3.221762
-6470.967971,9,3.229318
-7076.137716,9,3.234879
-2680.148237,11,3.241469
-535.161765,8,3.248889
-145.497522,8,3.264828
-4669.115652,9,3.272276
-1134.824845,9,3.299758
-5314.765567,9,3.3141
-4408.673939,9,3.319387
-3570.115096,9,3.333032
-539.965511,9,3.338125
-1536.810228,9,3.345968
-1035.0061,8,3.35208
-955.458887,9,3.357928
-2714.500476,9,3.367878
-1171.298987,8,3.372098
-325.26102,8,3.381024
-1053.599829,8,3.386603
-3116.777048,9,3.391459
-5474.133139,9,3.398072
-1064.934823,8,3.407708
-3859.416708,9,3.414876
-4917.968653,9,3.419726
-128.70912,7,3.423537
-13360.739875,10,3.429505
-4705.631356,9,3.440252
-643.175783,8,3.448016
-2312.51738,9,3.451822
-879.986728,8,3.455742
-2206.178991,11,3.463061
-38362.96973,10,3.468418
-599.51163,8,3.477359
-5676.620601,9,3.485075
-1080.739373,8,3.490046
-906.345749,8,3.495658
-934.980331,8,3.500504
-10488.074299,9,3.507236
-735.130142,11,3.514845
-3426.945843,9,3.519428
-4709.102515,9,3.524242
-131.538794,8,3.535414
-394.659767,9,3.544852
-4581.339454,9,3.550133
-5344.359097,9,3.555392
-542.938329,9,3.561356
-677.077896,10,3.568361
-256.738026,8,3.576354
-1148.144147,8,3.581778
-959.563292,8,3.586016
-1002.842312,8,3.590262
-1365.958824,8,3.594852
-824.742399,8,3.600583
-5164.942077,10,3.605898
-1010.936916,8,3.610469
-2262.69494,12,3.617568
-1124.807181,8,3.62181
-1590.569956,11,3.632768
-106.96544,8,3.637651
-715.674951,9,3.641303
-340.901412,8,3.648233
-1019.092659,9,3.65294
-131.648225,7,3.656545
-2254.168262,9,3.665391
-393.747143,8,3.669922
-565.374022,10,3.675295
-284.535095,8,3.683958
-399.175151,8,3.687361
